v3_start,v3_end,offset,match_method
30610,30648,103,gaia
30649,30649,103,tyc
30650,30741,103,gaia
30742,30742,103,tyc
30743,30787,103,gaia
30788,30788,103,tyc
30789,31005,103,gaia
31006,31006,103,tyc
31007,31008,103,gaia
31009,31245,104,gaia
31246,31246,104,tyc
31247,31286,104,gaia
31287,31287,104,tyc
31288,31314,104,gaia
31315,31315,104,tyc
31316,31421,104,gaia
31422,31428,105,gaia
31429,31712,106,gaia
31713,31713,106,tyc
31714,31888,106,gaia
31889,31936,107,gaia
31937,31937,107,tyc
31938,32096,107,gaia
32097,32097,107,tyc
32098,32125,107,gaia
32126,32126,107,tyc
32127,32141,107,gaia
32142,32142,107,tyc
32143,32434,107,gaia
32435,32435,107,tyc
32436,32574,107,gaia
32575,32575,107,tyc
32576,32577,107,gaia
32578,32578,107,tyc
32579,32591,107,gaia
32592,32592,107,tyc
32593,32637,107,gaia
32638,32638,107,tyc
32639,32658,107,gaia
32659,32659,107,tyc
32660,32758,107,gaia
32759,32759,107,tyc
32760,32772,107,gaia
32773,32773,107,tyc
32774,32803,107,gaia
32804,32804,107,tyc
32805,33029,107,gaia
33030,33030,107,tyc
33031,33037,107,gaia
33038,33038,107,tyc
33039,33044,107,gaia
33045,33045,107,tyc
33046,33278,107,gaia
33279,33279,107,tyc
33280,33336,107,gaia
33337,33337,107,tyc
33338,33374,107,gaia
33375,33375,107,tyc
33376,33461,107,gaia
33462,33462,107,tyc
33463,33463,107,gaia
33464,33464,107,tyc
33465,33515,107,gaia
33516,33516,107,tyc
33517,33525,107,gaia
33526,33526,107,tyc
33527,33560,107,gaia
33561,33584,108,gaia
33585,33586,108,tyc
33587,33607,108,gaia
33608,33608,108,tyc
33609,33646,108,gaia
33647,33809,109,gaia
33810,33810,109,tyc
33811,33965,109,gaia
33966,33966,109,tyc
33967,33969,109,gaia
33970,33970,109,tyc
33971,33976,109,gaia
33977,34075,110,gaia
34076,34076,110,tyc
34077,34129,110,gaia
34130,34130,110,tyc
34131,34131,110,gaia
34132,34132,110,tyc
34133,34182,110,gaia
34183,34183,110,tyc
34184,34238,110,gaia
34239,34527,111,gaia
34528,34528,111,tyc
34529,34556,111,gaia
34557,34563,112,gaia
34564,34564,112,tyc
34565,34577,112,gaia
34578,34746,113,gaia
34747,34837,114,gaia
34838,34838,114,tyc
34839,34924,114,gaia
34925,34925,114,tyc
34926,34935,114,gaia
34936,34936,114,tyc
34937,34971,114,gaia
34972,34972,114,tyc
34973,35090,114,gaia
35091,35091,114,tyc
35092,35167,114,gaia
35168,35308,115,gaia
35309,35309,115,tyc
35310,35381,115,gaia
35382,35382,115,tyc
35383,35464,115,gaia
35465,35465,115,tyc
35466,35542,115,gaia
35543,35543,115,tyc
35544,35556,115,gaia
35557,35612,116,gaia
35613,35613,116,tyc
35614,35842,116,gaia
35843,35843,116,tyc
35844,35953,116,gaia
35954,35954,116,tyc
35955,35961,116,gaia
35962,36020,117,gaia
36021,36021,117,tyc
36022,36357,117,gaia
36358,36358,117,tyc
36359,36425,117,gaia
36426,36426,117,tyc
36427,36473,117,gaia
36474,36474,117,tyc
36475,36493,117,gaia
36494,36494,117,tyc
36495,36508,117,gaia
36509,36509,117,tyc
36510,36522,117,gaia
36523,36523,117,tyc
36524,36528,117,gaia
36529,36529,117,tyc
36530,36535,117,gaia
36536,36536,117,tyc
36537,36602,117,gaia
36603,36637,118,gaia
36638,36638,118,tyc
36639,36752,118,gaia
36753,36753,118,tyc
36754,36806,118,gaia
36807,36807,118,tyc
36808,36910,118,gaia
36911,36961,119,gaia
36962,36962,119,tyc
36963,37163,119,gaia
37164,37164,119,tyc
37165,37231,119,gaia
37232,37232,119,tyc
37233,37352,119,gaia
37353,37394,120,gaia
37395,37395,120,tyc
37396,37479,120,gaia
37480,37480,120,tyc
37481,37487,120,gaia
37488,37536,121,gaia
37537,37537,121,tyc
37538,37747,121,gaia
37748,37748,121,tyc
37749,38052,121,gaia
38053,38053,121,tyc
38054,38058,121,gaia
38059,38059,121,tyc
38060,38169,121,gaia
38170,38170,121,tyc
38171,38176,121,gaia
38177,38177,121,tyc
38178,38229,121,gaia
38230,38230,121,tyc
38231,38233,121,gaia
38234,38234,121,tyc
38235,38310,121,gaia
38311,38311,121,tyc
38312,38434,121,gaia
38435,38435,121,tyc
38436,38544,121,gaia
38545,38545,121,tyc
38546,38554,121,gaia
38555,38556,122,gaia
38557,38557,122,tyc
38558,38636,122,gaia
38637,38637,122,tyc
38638,38824,122,gaia
38825,38825,122,tyc
38826,38887,122,gaia
38888,38888,122,tyc
38889,38909,122,gaia
38910,38910,122,tyc
38911,39059,122,gaia
39060,39060,122,tyc
39061,39084,122,gaia
39085,39085,122,tyc
39086,39130,122,gaia
39131,39131,122,tyc
39132,39185,122,gaia
39186,39186,122,tyc
39187,39251,122,gaia
39252,39253,123,gaia
39254,39254,123,tyc
39255,39278,123,gaia
39279,39303,124,gaia
39304,39304,124,tyc
39305,39318,124,gaia
39319,39319,124,tyc
39320,39331,124,gaia
39332,39332,124,tyc
39333,39344,124,gaia
39345,39345,124,tyc
39346,39375,124,gaia
39376,39376,124,tyc
39377,39382,124,gaia
39383,39383,124,tyc
39384,39416,124,gaia
39417,39417,124,tyc
39418,39468,124,gaia
39469,39469,124,tyc
39470,39484,124,gaia
39485,39485,124,tyc
39486,39516,124,gaia
39517,39517,124,tyc
39518,39519,124,gaia
39520,39520,124,tyc
39521,39527,124,gaia
39528,39529,125,gaia
39530,39530,125,tyc
39531,39645,125,gaia
39646,39646,125,tyc
39647,39682,125,gaia
39683,39683,125,tyc
39684,39738,125,gaia
39739,39739,125,tyc
39740,39925,125,gaia
39926,39926,125,tyc
39927,39998,125,gaia
39999,39999,125,tyc
40000,40217,125,gaia
40218,40218,125,tyc
40219,40425,125,gaia
40426,40426,125,tyc
40427,40467,125,gaia
